2015-06-23 10:57:23 [DEBUG] root:61 	difflib.Delta
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.DiffTest
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.PatchTest
2015-06-23 10:57:23 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:23 [DEBUG] root:61 	start cmd..
2015-06-23 10:57:23 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods diffutills.DiffTest.testDiff_Change -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt -testingclass issues.issue10.Patcher issues.issue10.PatcherTest issues.IOUtils difflib.ChangeDelta difflib.DiffUtils difflib.Patch difflib.Chunk difflib.Delta diffutills.DiffTest diffutills.GenerateUnifiedDiffTest diffutills.PatchTest issues.issue10.PatcherTest
2015-06-23 10:57:23 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:57:23 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta
2015-06-23 10:57:23 [DEBUG] root:61 	-cp
2015-06-23 10:57:23 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-06-23 10:57:23 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:57:23 [DEBUG] root:61 	-methods
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.DiffTest.testDiff_Change
2015-06-23 10:57:23 [DEBUG] root:61 	-destfile
2015-06-23 10:57:23 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt
2015-06-23 10:57:23 [DEBUG] root:61 	-testingclass
2015-06-23 10:57:23 [DEBUG] root:61 	issues.issue10.Patcher
2015-06-23 10:57:23 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:23 [DEBUG] root:61 	issues.IOUtils
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.ChangeDelta
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.DiffUtils
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.Patch
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.Chunk
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.Delta
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.DiffTest
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.PatchTest
2015-06-23 10:57:23 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:23 [DEBUG] root:61 	start cmd..
2015-06-23 10:57:23 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods diffutills.DiffTest.testDiff_EmptyList -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt -testingclass issues.issue10.Patcher issues.issue10.PatcherTest issues.IOUtils difflib.ChangeDelta difflib.DiffUtils difflib.Patch difflib.Chunk difflib.Delta diffutills.DiffTest diffutills.GenerateUnifiedDiffTest diffutills.PatchTest issues.issue10.PatcherTest
2015-06-23 10:57:23 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:57:23 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta
2015-06-23 10:57:23 [DEBUG] root:61 	-cp
2015-06-23 10:57:23 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-06-23 10:57:23 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:57:23 [DEBUG] root:61 	-methods
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.DiffTest.testDiff_EmptyList
2015-06-23 10:57:23 [DEBUG] root:61 	-destfile
2015-06-23 10:57:23 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt
2015-06-23 10:57:23 [DEBUG] root:61 	-testingclass
2015-06-23 10:57:23 [DEBUG] root:61 	issues.issue10.Patcher
2015-06-23 10:57:23 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:23 [DEBUG] root:61 	issues.IOUtils
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.ChangeDelta
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.DiffUtils
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.Patch
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.Chunk
2015-06-23 10:57:23 [DEBUG] root:61 	difflib.Delta
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.DiffTest
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest
2015-06-23 10:57:23 [DEBUG] root:61 	diffutills.PatchTest
2015-06-23 10:57:23 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:24 [DEBUG] root:61 	start cmd..
2015-06-23 10:57:24 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods diffutills.GenerateUnifiedDiffTest.testGenerateUnifiedWithOneDelta -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt -testingclass issues.issue10.Patcher issues.issue10.PatcherTest issues.IOUtils difflib.ChangeDelta difflib.DiffUtils difflib.Patch difflib.Chunk difflib.Delta diffutills.DiffTest diffutills.GenerateUnifiedDiffTest diffutills.PatchTest issues.issue10.PatcherTest
2015-06-23 10:57:24 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:57:24 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta
2015-06-23 10:57:24 [DEBUG] root:61 	-cp
2015-06-23 10:57:24 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-06-23 10:57:24 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:57:24 [DEBUG] root:61 	-methods
2015-06-23 10:57:24 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest.testGenerateUnifiedWithOneDelta
2015-06-23 10:57:24 [DEBUG] root:61 	-destfile
2015-06-23 10:57:24 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt
2015-06-23 10:57:24 [DEBUG] root:61 	-testingclass
2015-06-23 10:57:24 [DEBUG] root:61 	issues.issue10.Patcher
2015-06-23 10:57:24 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:24 [DEBUG] root:61 	issues.IOUtils
2015-06-23 10:57:24 [DEBUG] root:61 	difflib.ChangeDelta
2015-06-23 10:57:24 [DEBUG] root:61 	difflib.DiffUtils
2015-06-23 10:57:24 [DEBUG] root:61 	difflib.Patch
2015-06-23 10:57:24 [DEBUG] root:61 	difflib.Chunk
2015-06-23 10:57:24 [DEBUG] root:61 	difflib.Delta
2015-06-23 10:57:24 [DEBUG] root:61 	diffutills.DiffTest
2015-06-23 10:57:24 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest
2015-06-23 10:57:24 [DEBUG] root:61 	diffutills.PatchTest
2015-06-23 10:57:24 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:25 [DEBUG] root:61 	start cmd..
2015-06-23 10:57:25 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods diffutills.GenerateUnifiedDiffTest.fileToLines -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt -testingclass issues.issue10.Patcher issues.issue10.PatcherTest issues.IOUtils difflib.ChangeDelta difflib.DiffUtils difflib.Patch difflib.Chunk difflib.Delta diffutills.DiffTest diffutills.GenerateUnifiedDiffTest diffutills.PatchTest issues.issue10.PatcherTest
2015-06-23 10:57:25 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:57:25 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta
2015-06-23 10:57:25 [DEBUG] root:61 	-cp
2015-06-23 10:57:25 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-06-23 10:57:25 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:57:25 [DEBUG] root:61 	-methods
2015-06-23 10:57:25 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest.fileToLines
2015-06-23 10:57:25 [DEBUG] root:61 	-destfile
2015-06-23 10:57:25 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt
2015-06-23 10:57:25 [DEBUG] root:61 	-testingclass
2015-06-23 10:57:25 [DEBUG] root:61 	issues.issue10.Patcher
2015-06-23 10:57:25 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:25 [DEBUG] root:61 	issues.IOUtils
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.ChangeDelta
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.DiffUtils
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.Patch
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.Chunk
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.Delta
2015-06-23 10:57:25 [DEBUG] root:61 	diffutills.DiffTest
2015-06-23 10:57:25 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest
2015-06-23 10:57:25 [DEBUG] root:61 	diffutills.PatchTest
2015-06-23 10:57:25 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:25 [DEBUG] root:61 	start cmd..
2015-06-23 10:57:25 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods diffutills.GenerateUnifiedDiffTest.testGenerateUnified -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt -testingclass issues.issue10.Patcher issues.issue10.PatcherTest issues.IOUtils difflib.ChangeDelta difflib.DiffUtils difflib.Patch difflib.Chunk difflib.Delta diffutills.DiffTest diffutills.GenerateUnifiedDiffTest diffutills.PatchTest issues.issue10.PatcherTest
2015-06-23 10:57:25 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:57:25 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta
2015-06-23 10:57:25 [DEBUG] root:61 	-cp
2015-06-23 10:57:25 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-06-23 10:57:25 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:57:25 [DEBUG] root:61 	-methods
2015-06-23 10:57:25 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest.testGenerateUnified
2015-06-23 10:57:25 [DEBUG] root:61 	-destfile
2015-06-23 10:57:25 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt
2015-06-23 10:57:25 [DEBUG] root:61 	-testingclass
2015-06-23 10:57:25 [DEBUG] root:61 	issues.issue10.Patcher
2015-06-23 10:57:25 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:25 [DEBUG] root:61 	issues.IOUtils
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.ChangeDelta
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.DiffUtils
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.Patch
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.Chunk
2015-06-23 10:57:25 [DEBUG] root:61 	difflib.Delta
2015-06-23 10:57:25 [DEBUG] root:61 	diffutills.DiffTest
2015-06-23 10:57:25 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest
2015-06-23 10:57:25 [DEBUG] root:61 	diffutills.PatchTest
2015-06-23 10:57:25 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:26 [DEBUG] root:61 	start cmd..
2015-06-23 10:57:26 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods diffutills.PatchTest.testPatch_Insert -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt -testingclass issues.issue10.Patcher issues.issue10.PatcherTest issues.IOUtils difflib.ChangeDelta difflib.DiffUtils difflib.Patch difflib.Chunk difflib.Delta diffutills.DiffTest diffutills.GenerateUnifiedDiffTest diffutills.PatchTest issues.issue10.PatcherTest
2015-06-23 10:57:26 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:57:26 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta
2015-06-23 10:57:26 [DEBUG] root:61 	-cp
2015-06-23 10:57:26 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-06-23 10:57:26 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:57:26 [DEBUG] root:61 	-methods
2015-06-23 10:57:26 [DEBUG] root:61 	diffutills.PatchTest.testPatch_Insert
2015-06-23 10:57:26 [DEBUG] root:61 	-destfile
2015-06-23 10:57:26 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt
2015-06-23 10:57:26 [DEBUG] root:61 	-testingclass
2015-06-23 10:57:26 [DEBUG] root:61 	issues.issue10.Patcher
2015-06-23 10:57:26 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:26 [DEBUG] root:61 	issues.IOUtils
2015-06-23 10:57:26 [DEBUG] root:61 	difflib.ChangeDelta
2015-06-23 10:57:26 [DEBUG] root:61 	difflib.DiffUtils
2015-06-23 10:57:26 [DEBUG] root:61 	difflib.Patch
2015-06-23 10:57:26 [DEBUG] root:61 	difflib.Chunk
2015-06-23 10:57:26 [DEBUG] root:61 	difflib.Delta
2015-06-23 10:57:26 [DEBUG] root:61 	diffutills.DiffTest
2015-06-23 10:57:26 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest
2015-06-23 10:57:26 [DEBUG] root:61 	diffutills.PatchTest
2015-06-23 10:57:26 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:26 [DEBUG] root:61 	start cmd..
2015-06-23 10:57:26 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods diffutills.PatchTest.testPatch_Delete -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt -testingclass issues.issue10.Patcher issues.issue10.PatcherTest issues.IOUtils difflib.ChangeDelta difflib.DiffUtils difflib.Patch difflib.Chunk difflib.Delta diffutills.DiffTest diffutills.GenerateUnifiedDiffTest diffutills.PatchTest issues.issue10.PatcherTest
2015-06-23 10:57:26 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:57:26 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta
2015-06-23 10:57:26 [DEBUG] root:61 	-cp
2015-06-23 10:57:26 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-06-23 10:57:26 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:57:26 [DEBUG] root:61 	-methods
2015-06-23 10:57:26 [DEBUG] root:61 	diffutills.PatchTest.testPatch_Delete
